Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
The Revised Declaration of Geneva: A Modern-Day Physician's Pledge.,"['Parsa-Parsi, Ramin Walter']","Parsa-Parsi, Ramin Walter",Drug Commission of the German Medical Association,"Parsa-Parsi, Ramin Walter",Drug Commission of the German Medical Association,,5,,JAMA,2017 Nov 28,
"Organ Donor Research: Overcoming Challenges, Increasing Opportunities.","['Childress, James F']","Childress, James F",University of Virginia,"Childress, James F",University of Virginia,,15,,JAMA,2017 Dec 12,
Underlying Factors in Drug Overdose Deaths.,"['Dowell, Deborah', 'Noonan, Rita K', 'Houry, Debra']","Dowell, Deborah",National Center for Injury Prevention and Control,"Houry, Debra",Centers for Disease Control and Prevention,,25,,JAMA,2017 Dec 19,['CC999999/Intramural CDC HHS/United States']
Firearm-Related Injury and Death: A US Health Care Crisis in Need of Health Care Professionals.,"['Taichman, Darren B', 'Bauchner, Howard', 'Drazen, Jeffrey M', 'Laine, Christine', 'Peiperl, Larry']","Taichman, Darren B",Annals of Internal Medicine,"Peiperl, Larry",Public Library of Science,,11,,JAMA,2017 Nov 21,
Vaccination Challenges in Confronting the Resurgent Threat From Yellow Fever.,"['Chen, Lin H', 'Hamer, Davidson H']","Chen, Lin H",Southwest Jiaotong University,"Hamer, Davidson H",Boston University School of Public Health,,35,,JAMA,2017 Nov 7,
Could a New Method to Detect Coronary Inflammation Prevent Heart Attacks?,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Oct 24,
The Critical Role of Biomedical Research in Pandemic Preparedness.,"['Marston, Hilary D', 'Paules, Catharine I', 'Fauci, Anthony S']","Marston, Hilary D",National Institute of Allergy and Infectious Diseases,"Fauci, Anthony S",National Institute of Allergy and Infectious Diseases,,168,,JAMA,2017 Nov 14,
Lack of Improvement in Health Care for Afghans With Disabilities.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Sep 19,
Exposure to Lychee Orchard Pesticides Linked to AES Outbreak.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Sep 19,
Progress Stalls in Improving Vaccine Coverage Rates.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Sep 19,
Notice of Retraction and Replacement: Favini et al. Comparative Trends in Payment Adjustments Between Safety-Net and Other Hospitals Since the Introduction of the Hospital Readmission Reduction Program and Value-Based Purchasing. JAMA. 2017;317(15):1578-1580.,"['Favini, Nathan', 'Hockenberry, Jason M', 'Gilman, Matlin', 'Jain, Sanjula', 'Ong, Michael K', 'Adams, E Kathleen', 'Becker, Edmund R']","Favini, Nathan","University of California, Los Angeles","Becker, Edmund R",Emory University,,31,,JAMA,2017 Sep 19,
"""The Tunnel at the End of the Light"": Preparing to Attend on the Inpatient Medical Wards.","['Chopra, Vineet', 'Saint, Sanjay']","Chopra, Vineet",University of Michigan Medical School,"Saint, Sanjay",VA Medical Center,,64,,JAMA,2017 Sep 19,
The Lower Seven-Eighths.,"['Gascho, Joseph']","Gascho, Joseph",Penn State College of Medicine,"Gascho, Joseph",Penn State College of Medicine,,19,,JAMA,2017 Sep 19,
Effect of Lorazepam With Haloperidol vs Haloperidol Alone on Agitated Delirium in Patients With Advanced Cancer Receiving Palliative Care: A Randomized Clinical Trial.,"['Hui, David', 'Frisbee-Hume, Susan', 'Wilson, Annie', 'Dibaj, Seyedeh S', 'Nguyen, Thuc', 'De La Cruz, Maxine', 'Walker, Paul', 'Zhukovsky, Donna S', 'Delgado-Guay, Marvin', 'Vidal, Marieberta', 'Epner, Daniel', 'Reddy, Akhila', 'Tanco, Kimerson', 'Williams, Janet', 'Hall, Stacy', 'Liu, Diane', 'Hess, Kenneth', 'Amin, Sapna', 'Breitbart, William', 'Bruera, Eduardo']","Hui, David",University of New Orleans,"Bruera, Eduardo",University of Texas MD Anderson Cancer Center,,91,"Importance: The use of benzodiazepines to control agitation in delirium in the last days of life is controversial. Objective: To compare the effect of lorazepam vs placebo as an adjuvant to haloperidol for persistent agitation in patients with delirium in the setting of advanced cancer. Design, Setting, and Participants: Single-center, double-blind, parallel-group, randomized clinical trial conducted at an acute palliative care unit at MD Anderson Cancer Center, Texas, enrolling 93 patients with advanced cancer and agitated delirium despite scheduled haloperidol from February 11, 2014, to June 30, 2016, with data collection completed in October 2016. Interventions: Lorazepam (3 mg) intravenously (n = 47) or placebo (n = 43) in addition to haloperidol (2 mg) intravenously upon the onset of an agitation episode. Main Outcomes and Measures: The primary outcome was change in Richmond Agitation-Sedation Scale (RASS) score (range, -5 [unarousable] to 4 [very agitated or combative]) from baseline to 8 hours after treatment administration. Secondary end points were rescue neuroleptic use, delirium recall, comfort (perceived by caregivers and nurses), communication capacity, delirium severity, adverse effects, discharge outcomes, and overall survival. Results: Among 90 randomized patients (mean age, 62 years; women, 42 [47%]), 58 (64%) received the study medication and 52 (90%) completed the trial. Lorazepam + haloperidol resulted in a significantly greater reduction of RASS score at 8 hours (-4.1 points) than placebo + haloperidol (-2.3 points) (mean difference, -1.9 points [95% CI, -2.8 to -0.9]; P < .001). The lorazepam + haloperidol group required less median rescue neuroleptics (2.0 mg) than the placebo + haloperidol group (4.0 mg) (median difference, -1.0 mg [95% CI, -2.0 to 0]; P = .009) and was perceived to be more comfortable by both blinded caregivers and nurses (caregivers: 84% for the lorazepam + haloperidol group vs 37% for the placebo + haloperidol group; mean difference, 47% [95% CI, 14% to 73%], P = .007; nurses: 77% for the lorazepam + haloperidol group vs 30% for the placebo + haloperidol group; mean difference, 47% [95% CI, 17% to 71%], P = .005). No significant between-group differences were found in delirium-related distress and survival. The most common adverse effect was hypokinesia (3 patients in the lorazepam + haloperidol group [19%] and 4 patients in the placebo + haloperidol group [27%]). Conclusions and Relevance: In this preliminary trial of hospitalized patients with agitated delirium in the setting of advanced cancer, the addition of lorazepam to haloperidol compared with haloperidol alone resulted in a significantly greater reduction in agitation at 8 hours. Further research is needed to assess generalizability and adverse effects. Trial Registration: clinicaltrials.gov Identifier: NCT01949662.",JAMA,2017 Sep 19,"['P30 CA008748/CA/NCI NIH HHS/United States', 'P30 CA016672/CA/NCI NIH HHS/United States', 'R01 CA200867/CA/NCI NIH HHS/United States', 'R21 CA186000/CA/NCI NIH HHS/United States']"
"Carotid Endarterectomy and Carotid Artery Stenting in the US Medicare Population, 1999-2014.","['Lichtman, Judith H', 'Jones, Michael R', 'Leifheit, Erica C', 'Sheffet, Alice J', 'Howard, George', 'Lal, Brajesh K', 'Howard, Virginia J', 'Wang, Yun', 'Curtis, Jeptha', 'Brott, Thomas G']","Lichtman, Judith H",Yale University,"Brott, Thomas G","Mayo Clinic in Jacksonville, Florida",,98,"Importance: Carotid endarterectomy and carotid artery stenting are the leading approaches to revascularization for carotid stenosis, yet contemporary data on trends in rates and outcomes are limited. Objective: To describe US national trends in performance and outcomes of carotid endarterectomy and stenting among Medicare beneficiaries from 1999 to 2014. Design, Setting, and Participants: Serial cross-sectional analysis of Medicare fee-for-service beneficiaries aged 65 years or older from 1999 to 2014 using the Medicare Inpatient and Denominator files. Spatial mixed models adjusted for age, sex, and race were fit to calculate county-specific risk-standardized revascularization rates. Mixed models were fit to assess trends in outcomes after adjustment for demographics, comorbidities, and symptomatic status. Exposures: Carotid endarterectomy and carotid artery stenting. Main Outcomes and Measures: Revascularization rates per 100000 beneficiary-years of fee-for-service enrollment, in-hospital mortality, 30-day stroke or death, 30-day stroke, myocardial infarction, or death, 30-day all-cause mortality, and 1-year stroke. Results: During the study, 937111 unique patients underwent carotid endarterectomy (mean age, 75.8 years; 43% women) and 231077 underwent carotid artery stenting (mean age, 75.4 years; 49% women). There were 81306 patients who underwent endarterectomy in 1999 and 36325 in 2014; national rates per 100000 beneficiary-years decreased from 298 in 1999-2000 to 128 in 2013-2014 (P < .001). The number of patients who underwent stenting ranged from 10416 in 1999 to 22865 in 2006 (an increase per 100000 beneficiary-years from 40 in 1999-2000 to 75 in 2005-2006; P < .001); by 2014, there were 10208 patients who underwent stenting and the rate decreased to 38 per 100000 beneficiary-years (P < .001). Outcomes improved over time despite increases in vascular risk factors (eg, hypertension prevalence increased from 67% to 81% among patients who underwent endarterectomy and from 61% to 70% among patients who underwent stenting) and the proportion of symptomatic patients (all P < .001). There were adjusted annual decreases in 30-day ischemic stroke or death of 2.90% (95% CI, 2.63% to 3.18%) among patients who underwent endarterectomy and 1.13% (95% CI, 0.71% to 1.54%) among patients who underwent stenting; an absolute decrease from 1999 to 2014 was observed for endarterectomy (1.4%; 95% CI, 1.2% to 1.5%) but not stenting (-0.1%; 95% CI, -0.5% to 0.4%). Rates for 1-year ischemic stroke decreased after endarterectomy (absolute decrease, 3.5% [95% CI, 3.2% to 3.7%]; adjusted annual decrease, 2.17% [95% CI, 2.00% to 2.34%]) and stenting (absolute decrease, 1.6% [95% CI, 1.2% to 2.1%]; adjusted annual decrease, 1.86% [95% CI, 1.45%-2.26%]). Additional improvements were noted for in-hospital mortality, 30-day stroke, myocardial infarction, or death, and 30-day all-cause mortality as well as within demographic subgroups. Conclusions and Relevance: Among fee-for-service Medicare beneficiaries, the performance of carotid endarterectomy declined from 1999 to 2014, whereas the performance of carotid artery stenting increased until 2006 and then declined from 2007 to 2014. Outcomes improved despite increases in vascular risk factors.",JAMA,2017 Sep 19,"['I01 CX001621/CX/CSRD VA/United States', 'UL1 TR001863/TR/NCATS NIH HHS/United States', 'U01 NS038384/NS/NINDS NIH HHS/United States', 'U01 HL105270/HL/NHLBI NIH HHS/United States']"
Effect of a Community Health Worker-Led Multicomponent Intervention on Blood Pressure Control in Low-Income Patients in Argentina: A Randomized Clinical Trial.,"['He, Jiang', 'Irazola, Vilma', 'Mills, Katherine T', 'Poggio, Rosana', 'Beratarrechea, Andrea', 'Dolan, Jacquelyn', 'Chen, Chung-Shiuan', 'Gibbons, Luz', 'Krousel-Wood, Marie', 'Bazzano, Lydia A', 'Nejamis, Analia', 'Gulayin, Pablo', 'Santero, Marilina', 'Augustovski, Federico', 'Chen, Jing', 'Rubinstein, Adolfo']","He, Jiang",Tulane University School of Medicine,"Rubinstein, Adolfo",Ministry of Health of Argentina,,21,"Importance: Despite extensive knowledge of hypertension treatment, the prevalence of uncontrolled hypertension is high and increasing in low- and middle-income countries. Objective: To test whether a community health worker-led multicomponent intervention would improve blood pressure (BP) control among low-income patients with hypertension. Design, Setting, and Participants: A cluster randomized trial was conducted in 18 centers for primary health care within a national public system providing free medications and health care to uninsured patients in Argentina. A total of 1432 low-income adult patients with uncontrolled hypertension were recruited between June 2013 and April 2015 and followed up to October 2016. Interventions: Nine centers (743 patients) were randomized to the multicomponent intervention, which included a community health worker-led home intervention (health coaching, home BP monitoring, and BP audit and feedback), a physician intervention, and a text-messaging intervention over 18 months. Nine centers (689 patients) were randomized to usual care. Main Outcomes and Measures: The coprimary outcomes were the differences in systolic and diastolic BP changes from baseline to the end of follow-up of patients with hypertension. Secondary outcomes included the proportion of patients with controlled hypertension (BP <140/90 mm Hg). Three BP measurements were obtained at each of 2 baseline and 2 termination visits using a standard protocol, the means of which were used for analyses. Results: Of 1432 participants (mean age, 55.8 years [SD, 13.3]; 772 women [53.0%]), 1357 (94.8%) completed the trial. Baseline mean systolic BP was 151.7 mm Hg for the intervention group and 149.8 mm Hg for the usual care group; the mean diastolic BP was 92.2 mm Hg for the intervention group and 90.1 mm Hg for the usual care group. Systolic BP reduction from baseline to month 18 was 19.3 mm Hg (95% CI, 17.9-20.8 mm Hg) for the intervention group and 12.7 mm Hg (95% CI, 11.3-14.2 mm Hg) for the usual care group; the difference in the reduction was 6.6 mm Hg (95% CI, 4.6-8.6; P < .001). Diastolic BP decreased by 12.2 mm Hg (95% CI, 11.2-13.2 mm Hg) in the intervention group and 6.9 mm Hg (95% CI, 5.9-7.8 mm Hg) in the control group; the difference in the reduction was 5.4 mm Hg (95% CI, 4.0-6.8 mm Hg; P < .001). The proportion of patients with controlled hypertension increased from 17.0% at baseline to 72.9% at 18 months in the intervention group and from 17.6% to 52.2% in the usual care group; the difference in the increase was 20.6% (95% CI, 15.4%-25.9%; P < .001). No adverse events were reported. Conclusions and Relevance: Low-income patients in Argentina with uncontrolled hypertension who participated in a community health worker-led multicomponent intervention experienced a greater decrease in systolic and diastolic BP than did patients who received usual care over 18 months. Further research is needed to assess generalizability and cost-effectiveness of this intervention and to understand which components may have contributed most to the outcome. Trial Registration: clinicaltrials.gov Identifier: NCT01834131.",JAMA,2017 Sep 19,"['P20 GM109036/GM/NIGMS NIH HHS/United States', 'U01 HL114197/HL/NHLBI NIH HHS/United States']"
Effect of Post-Cesarean Delivery Oral Cephalexin and Metronidazole on Surgical Site Infection Among Obese Women: A Randomized Clinical Trial.,"['Valent, Amy M', 'DeArmond, Chris', 'Houston, Judy M', 'Reddy, Srinidhi', 'Masters, Heather R', 'Gold, Alison', 'Boldt, Michael', 'DeFranco, Emily', 'Evans, Arthur T', 'Warshak, Carri R']","Valent, Amy M",Oregon Health and Science University,"Warshak, Carri R",University of Cincinnati College of Medicine,,7,"Importance: The rate of obesity among US women has been increasing, and obesity is associated with increased risk of surgical site infection (SSI) following cesarean delivery. The optimal perioperative antibiotic prophylactic regimen in this high-risk population undergoing cesarean delivery is unknown. Objective: To determine rates of SSI among obese women who receive prophylactic oral cephalexin and metronidazole vs placebo for 48 hours following cesarean delivery. Design, Setting, and Participants: Randomized, double-blind clinical trial comparing oral cephalexin and metronidazole vs placebo for 48 hours following cesarean delivery for the prevention of SSI in obese women (prepregnancy BMI >/=30) who had received standard intravenous preoperative cephalosporin prophylaxis. Randomization was stratified by intact vs rupture of membranes prior to delivery. The study was conducted at the University of Cincinnati Medical Center, Cincinnati, Ohio, an academic and urban setting, between October 2010 and December 2015, with final follow-up through February 2016. Interventions: Participants were randomly assigned to receive oral cephalexin, 500 mg, and metronidazole, 500 mg (n = 202 participants), vs identical-appearing placebo (n = 201 participants) every 8 hours for a total of 48 hours following cesarean delivery. Main Outcomes and Measures: The primary outcome was SSI, defined as any superficial incisional, deep incisional, or organ/space infections within 30 days after cesarean delivery. Results: Among 403 randomized participants who were included (mean age, 28 [SD, 6] years; mean BMI, 39.7 [SD, 7.8]), 382 (94.6%) completed the trial. The overall rate of SSI was 10.9% (95% CI, 7.9%-14.0%). Surgical site infection was diagnosed in 13 women (6.4%) in the cephalexin-metronidazole group vs 31 women (15.4%) in the placebo group (difference, 9.0% [95% CI, 2.9%-15.0%]; relative risk, 0.41 [95% CI, 0.22-0.77]; P = .01). There were no serious adverse events, including allergic reaction, reported in either the antibiotic group or the placebo group. Conclusions and Relevance: Among obese women undergoing cesarean delivery who received the standard preoperative cephalosporin prophylaxis, a postoperative 48-hour course of oral cephalexin and metronidazole, compared with placebo, reduced the rate of SSI within 30 days after delivery. For prevention of SSI among obese women after cesarean delivery, prophylactic oral cephalexin and metronidazole may be warranted. Trial Registration: clinicaltrials.gov Identifier: NCT01194115.",JAMA,2017 Sep 19,
